,titles,images,ratings,prices
74,"I15 Pro MAX Smartphone Unlocked Cell Phone,Battery 6800mAh 6.8 HD Screen Unlocked Phone,6+256GB Android 13 with 128GB Memory Card,Dual SIM/5G/Fingerprint Lock/Face ID (Black, 6+256)",https://m.media-amazon.com/images/I/71zI9jt29CL._AC_UY218_.jpg,3.6 out of 5 stars,$168.99
75,"Google Pixel 8a - Unlocked Android Phone with Google AI, Advanced Pixel Camera and 24-Hour Battery - Obsidian - 256 GB",https://m.media-amazon.com/images/I/71n1Bn04lJL._AC_UY218_.jpg,4.1 out of 5 stars,$559.00
76,"UMIDIGI Unlocked Cell Phone, G5 Android 13 Smartphones, 5000mAh 8+128GB/TF 1TB Expand, Ultra-Slim 6.6"" Screen Unlocked Phones, 50MP AI Camera Fingerprint/Face Unlocked 4G Dual SIM Mobile Phones Black",https://m.media-amazon.com/images/I/718sdhZ8vFL._AC_UY218_.jpg,4.1 out of 5 stars,$139.99
77,"Cheap Smartphone， 5.0'' Android 9.0, 16GB ROM(Extendable to 128GB,Dual SIM Dual Camera, WiFi,Bluetooth,GPS Basic Mobile Phones (R10-Black)",https://m.media-amazon.com/images/I/51lbT1TjdXL._AC_UY218_.jpg,3.2 out of 5 stars,$54.99
78,"Simple Mobile Samsung Galaxy A14 5G, 64GB, Black - Prepaid Smartphone (Locked)",https://m.media-amazon.com/images/I/81amPJwm3YL._AC_UY218_.jpg,4.0 out of 5 stars,$79.88
79,BLU G33 | 2023 | All-Day Battery | Unlocked | 6.26” Display | 16/2GB |US Version | US Warranty | Black,https://m.media-amazon.com/images/I/81fUWzpcHML._AC_UY218_.jpg,3.3 out of 5 stars,$59.90
80,"I23 Ultra Unlocked Cell Phone,Long Battery Life 6.82"" HD Screen Unlocked Phones,Android13 6+256GB Smartphone with 128G Memory Card,Fingerprint Lock/Face ID/GPS (Black)",https://m.media-amazon.com/images/I/61Dbo62hK7L._AC_UY218_.jpg,5.0 out of 5 stars,$189.99
81,Nokia 6300 4G | Unlocked | International | WiFi Hotspot | Social Apps | Google Maps and Assistant | Light Charcoal,https://m.media-amazon.com/images/I/61u374-jlJL._AC_UY218_.jpg,3.7 out of 5 stars,$69.00
82,"Total by Verizon Samsung Galaxy A14 5G, 64GB, Black - Prepaid Smartphone (Locked)",https://m.media-amazon.com/images/I/81amPJwm3YL._AC_UY218_.jpg,4.1 out of 5 stars,$79.88
83,A09 Smartphone | 2024 | 6.56-Inch Screen Cell Phone | 4000 mAh Battery | 8/128GB | Android 12 Unlocked Mobile Phone | 13 MP + 8MP Main/Front Camera | US Version | Black,https://m.media-amazon.com/images/I/61VpSm4vocL._AC_UY218_.jpg,5.0 out of 5 stars,$89.99
84,"Motorola Moto G14 Dual SIM (2023) 4G LTE (4/128GB) 6.5"" IPS LDC Display | Android 13 | 50MP Rear Camera | 5000mAh Battery | International Model - (Steel Gray)",https://m.media-amazon.com/images/I/61TtGkw5IFL._AC_UY218_.jpg,4.6 out of 5 stars,$129.98
85,"Cell Phone Booster for Car, SUV, Van|Vehicle Cell Booster for AT&T, Verizon, T-Mobile & All U.S.Carriers|Boosts 5G/4G LTE/3G on Band12/17/13/5/2/25/4/66|FCC Approved Cellular Booster",https://m.media-amazon.com/images/I/6150X5RBzXL._AC_UY218_.jpg,4.4 out of 5 stars,$159.99
86,"【2-in-1】 Portable Magnetic Phone Selfie Light and Stand, Three Modes Colour LED Fill Light，Ring Light Included Sticky Ring, for Selfies/Photography/TikTok/Zoom Calls/Video Conference Colour (White)",https://m.media-amazon.com/images/I/519uXipI-bL._AC_UY218_.jpg,4.6 out of 5 stars,$21.90
87,bmani Wireless Earbuds Bluetooth Headphones 48hrs Play Back Sport Earphones with LED Display Over-Ear Buds with Earhooks Built-in Mic Headset for Workout Black,https://m.media-amazon.com/images/I/71ggPeuFeiL._AC_UY218_.jpg,4.4 out of 5 stars,$29.99
88,"Cell Phone Booster for Car Truck Vehicle RV Cell Phone Signal Booster T Mobile for Verizon AT&T Signal Booster RV 5G 4G LTE Band 13, 12, 17, 5, 4, 66, 2, 25 Car Cell Booster Repeater Extender Truck RV",https://m.media-amazon.com/images/I/610CORfiEGL._AC_UY218_.jpg,3.7 out of 5 stars,$179.00
89,BLU Z5 -GSM Unlocked Dual Sim -Black,https://m.media-amazon.com/images/I/71dH77ubowL._AC_UY218_.jpg,3.3 out of 5 stars,$22.99
90,"I14 Pro MAX Unlocked Cell Phone,Smartphone Long Battery Life 6.82"" HD Screen Unlocked Phones, 6+256GB Android 13.0 with 128G Memory Card, Dual SIM/Fingerprint Lock/Face ID/GPS (Gold)",https://m.media-amazon.com/images/I/41xxj9+MS-L._AC_UY218_.jpg,4.3 out of 5 stars,$158.99
91,"REVVL 6X 5G 128GB 5G Smartphone 6.52"" LCD - (Light Gray) T-Mobile Locked",https://m.media-amazon.com/images/I/51sxJ90M3yL._AC_UY218_.jpg,No Rating,$99.00
92,"Nokia 2780 Flip | Unlocked | Verizon, AT&T, T-Mobile | Blue",https://m.media-amazon.com/images/I/61RiO719umL._AC_UY218_.jpg,3.7 out of 5 stars,$85.99
93,"Xgody V50 Unlocked Android Phone, All-Day Battery, 4GB + 64GB Face Unlock Smartphone, 6.52'' HD Incell Screen Cell Phone, Dual 4G LTE New Smart Mobile Phone, T-Mobile Unlocked Smart Phones(Ink Black)",https://m.media-amazon.com/images/I/71fP8USvNTL._AC_UY218_.jpg,No Rating,$86.99
94,"Unlocked Android Phones C24 Ultra Cell Phone Android 13 Mobile Phone with Build-in Pen, 8GB+256GB, 6.8"" Display, 50MP+24MP Camera 6500 mAh 4G Dual SIM - Green",https://m.media-amazon.com/images/I/61rqxG4MerL._AC_UY218_.jpg,1.9 out of 5 stars,$189.99
95,"UMIDIGI C1 Cell Phone Unlocked, 5150mAh Battery with 6.52"" Full Screen T-Mobile Smartphone 2GB RAM+32GB ROM 256GB Expandable 13+5MP Camera,AI face Unlock,GPS,Dual SIM,WiFi 2.4GHz/5GHz,Warranty,Black",https://m.media-amazon.com/images/I/71ZYIbOTejL._AC_UY218_.jpg,3.6 out of 5 stars,$69.99
96,"I23 Ultra Smartphone Unlocked Cell Phone,Built in Pen,Battery 6800mAh 6.8"" HD Screen Unlocked Phone,Android 13 6+256GB with 128GB Memory Card, Face ID/Fingerprint Lock/GPS (Purple)",https://m.media-amazon.com/images/I/71GjQ38lncL._AC_UY218_.jpg,4.0 out of 5 stars,$189.99
97,"DOOGEE V30 PRO 5G Rugged Smartphone Unlocked, 32GB+512GB/2TB TF Dimensity 7050 Octa Core Waterproof Android 13 Mobile Phones, 10800mAh, 200MP Main Camera Dual Sim Cell Phone/WiFi6/OTG/NFC - Khaki",https://m.media-amazon.com/images/I/813R8X4C2WL._AC_UY218_.jpg,4.0 out of 5 stars,$549.99
